Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.00578	leaf-1	0	0	LastDelay	0.0057824	5782.4	1	2
1.00578	leaf-1	0	0	FullDelay	0.0057824	5782.4	1	2
2.00578	leaf-1	0	1	LastDelay	0.0057824	5782.4	1	2
2.00578	leaf-1	0	1	FullDelay	0.0057824	5782.4	1	2
2.20578	leaf-1	0	2	LastDelay	0.0057824	5782.4	1	2
2.20578	leaf-1	0	2	FullDelay	0.0057824	5782.4	1	2
2.40578	leaf-1	0	3	LastDelay	0.0057824	5782.4	1	2
2.40578	leaf-1	0	3	FullDelay	0.0057824	5782.4	1	2
2.60578	leaf-1	0	4	LastDelay	0.0057824	5782.4	1	2
2.60578	leaf-1	0	4	FullDelay	0.0057824	5782.4	1	2
5.00289	leaf-2	0	0	LastDelay	0.0028912	2891.2	1	1
5.00289	leaf-2	0	0	FullDelay	0.0028912	2891.2	1	1
6.00289	leaf-2	0	1	LastDelay	0.0028912	2891.2	1	1
6.00289	leaf-2	0	1	FullDelay	0.0028912	2891.2	1	1
6.20289	leaf-2	0	2	LastDelay	0.0028912	2891.2	1	1
6.20289	leaf-2	0	2	FullDelay	0.0028912	2891.2	1	1
6.40289	leaf-2	0	3	LastDelay	0.0028912	2891.2	1	1
6.40289	leaf-2	0	3	FullDelay	0.0028912	2891.2	1	1
6.60289	leaf-2	0	4	LastDelay	0.0028912	2891.2	1	1
6.60289	leaf-2	0	4	FullDelay	0.0028912	2891.2	1	1
8.00578	leaf-3	0	0	LastDelay	0.0057824	5782.4	1	2
8.00578	leaf-3	0	0	FullDelay	0.0057824	5782.4	1	2
9.00578	leaf-3	0	1	LastDelay	0.0057824	5782.4	1	2
9.00578	leaf-3	0	1	FullDelay	0.0057824	5782.4	1	2
9.20578	leaf-3	0	2	LastDelay	0.0057824	5782.4	1	2
9.20578	leaf-3	0	2	FullDelay	0.0057824	5782.4	1	2
9.40578	leaf-3	0	3	LastDelay	0.0057824	5782.4	1	2
9.40578	leaf-3	0	3	FullDelay	0.0057824	5782.4	1	2
9.60578	leaf-3	0	4	LastDelay	0.0057824	5782.4	1	2
9.60578	leaf-3	0	4	FullDelay	0.0057824	5782.4	1	2
10.0058	leaf-1	0	5	LastDelay	0.0057824	5782.4	1	2
10.0058	leaf-1	0	5	FullDelay	0.0057824	5782.4	1	2
10.2058	leaf-1	0	6	LastDelay	0.0057824	5782.4	1	2
10.2058	leaf-1	0	6	FullDelay	0.0057824	5782.4	1	2
10.4058	leaf-1	0	7	LastDelay	0.0057824	5782.4	1	2
10.4058	leaf-1	0	7	FullDelay	0.0057824	5782.4	1	2
10.6058	leaf-1	0	8	LastDelay	0.0057824	5782.4	1	2
10.6058	leaf-1	0	8	FullDelay	0.0057824	5782.4	1	2
10.8058	leaf-1	0	9	LastDelay	0.0057824	5782.4	1	2
10.8058	leaf-1	0	9	FullDelay	0.0057824	5782.4	1	2
15.0029	leaf-2	0	5	LastDelay	0.0028912	2891.2	1	1
15.0029	leaf-2	0	5	FullDelay	0.0028912	2891.2	1	1
15.2029	leaf-2	0	6	LastDelay	0.0028912	2891.2	1	1
15.2029	leaf-2	0	6	FullDelay	0.0028912	2891.2	1	1
15.4029	leaf-2	0	7	LastDelay	0.0028912	2891.2	1	1
15.4029	leaf-2	0	7	FullDelay	0.0028912	2891.2	1	1
15.6029	leaf-2	0	8	LastDelay	0.0028912	2891.2	1	1
15.6029	leaf-2	0	8	FullDelay	0.0028912	2891.2	1	1
15.8029	leaf-2	0	9	LastDelay	0.0028912	2891.2	1	1
15.8029	leaf-2	0	9	FullDelay	0.0028912	2891.2	1	1
19.0058	leaf-3	0	5	LastDelay	0.0057824	5782.4	1	2
19.0058	leaf-3	0	5	FullDelay	0.0057824	5782.4	1	2
19.2058	leaf-3	0	6	LastDelay	0.0057824	5782.4	1	2
19.2058	leaf-3	0	6	FullDelay	0.0057824	5782.4	1	2
19.4058	leaf-3	0	7	LastDelay	0.0057824	5782.4	1	2
19.4058	leaf-3	0	7	FullDelay	0.0057824	5782.4	1	2
19.6058	leaf-3	0	8	LastDelay	0.0057824	5782.4	1	2
19.6058	leaf-3	0	8	FullDelay	0.0057824	5782.4	1	2
19.8058	leaf-3	0	9	LastDelay	0.0057824	5782.4	1	2
19.8058	leaf-3	0	9	FullDelay	0.0057824	5782.4	1	2
